@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
1,11304,2374,1187,1419.91
4,3580,0,0,0
10,111,970,323.333,630.9
6,125,1735,1735,1735
596,1870,6927,50.1957,686.894
12,171,3573,893.25,2894.72
8,338,3288,822,1946.55
4,134,1607,1607,1607
2,5411,263,21.9167,89.5751
0,227,326,163,121.667
5,3048,11940,918.462,3153.24
0,2776,1495,1495,1495
0,132,48,48,48
3,79,15387,15387,15387
8,127,19265,19265,19265
10,219,5193,2596.5,4821.19
38,294,7576,757.6,5249.03
56,363,4054,405.4,1470.64
19,884,12202,6101,6588.79
1,90,96,96,96
10,415,612,306,399.667
6,153,66,66,66
0,90,39,39,39
0,460,1495,1495,1495
21,992,1764,352.8,1454.6
2,172,6260,6260,6260
3,248,6260,6260,6260
0,135,6260,6260,6260
1,92,0,0,0
4,2041,0,0,0
0,148,1869,1869,1869
2,98,12052,12052,12052
1,102,4683,2341.5,422.087
8,97,2,2,2
24,77,6636,6636,6636
2,75,6636,6636,6636
4,79,6636,6636,6636
0,84,6636,6636,6636
1,223,66,66,66
3,7799,1474,1474,1474
7,84,10929,10929,10929
6,93,1166,291.5,545.88
0,264,40,40,40
13,152,1735,1735,1735
14,115,18846,1449.69,1178.32
0,1494,10324,860.333,565.662
44,1705,16500,4125,15128.2
24,2068,3120,82.1053,42.0042
1,114,1766,1766,1766
3,245,2367,1183.5,1678.62
3,96,0,0,0
0,88,0,0,0
41,2616,7120,712,4953.78
2,227,10929,10929,10929
3,647,1706,341.2,564.579
4,296,11985,5992.5,9694.88
1,2508,5613,5613,5613
3,1822,50420,3601.43,13426.1
1,2277,2,2,2
1,520,16,16,16
197,1218,13008,197.091,2998.67
4,120,16776,8388,10721
0,3464,0,0,0
2,79,1869,1869,1869
3,5982,5139,5139,5139
1,449,10137,1448.14,1911.49
73,122,19984,768.615,1702.01
1,183,1495,1495,1495
1,230,6260,6260,6260
0,192,1,1,1
12,99,3,3,3
41,260,6680,1336,6228.31
3,16811,5240,85.9016,102.718
0,116,2,2,2
0,940,170,170,170
12,203,2709,451.5,1045.24
1,5284,1867,933.5,162.667
1,354,1,1,1
27,151,1975,987.5,1471.18
23,149,4047,809.4,2840.18
26,161,3355,838.75,864.257
3,102,1495,1495,1495
0,2504,589,589,589
19,87,643,160.75,95.9412
0,651,14567,560.269,907.076
14,105,1735,1735,1735
1274,7431,3252,104.903,626.855
0,151,274,45.6667,98.9
152,363,2643,660.75,1220.14
4,87,12052,12052,12052
0,2984,5849,5849,5849
6,1806,0,0,0
1,90,16,16,16
2,116,6260,6260,6260
3,168,7326,7326,7326
0,156,0,0,0
1,88,10931,5465.5,5465.5
1,108,1389,1389,1389
7,275,16018,8009,14464.8
1,172,1495,1495,1495
22,1973,11785,392.833,673.714
16,3647,1474,1474,1474
1,1284,0,0,0
8,412,5139,5139,5139
2,118,5039,5039,5039
182,662,7830,711.818,6348.76
20,211,7558,1511.6,6421.86
50,174,8431,468.389,6483.25
0,1256,13198,2199.67,9074.77
2,122,1389,1389,1389
3,85,9302,9302,9302
778,2271,39473,283.978,518.891
1,3750,0,0,0
0,1384,1,1,1
0,108,0,0,0
1,100,6260,6260,6260
0,838,3890,353.636,597.489
2,117,7326,7326,7326
2,22567,116759,320.766,2805.03
1,90,101,101,101
2,144,6260,6260,6260
0,88,1363,1363,1363
10,466,0,0,0
0,80,1363,1363,1363
0,136,1495,1495,1495
